height,Plong,Nlong
0,93.49247495,-93.54343998
0.501672241,94.23185541,-94.28015712
1.003344482,94.69257265,-94.73932761
1.505016722,95.07970807,-95.12579137
2.006688963,95.43405409,-95.48016277
2.508361204,95.76733246,-95.81394909
3.010033445,96.07189236,-96.11901596
3.511705686,96.33939799,-96.38663316
4.013377926,96.5835482,-96.63074716
4.515050167,96.81942791,-96.8667615
5.016722408,97.05006684,-97.09771869
5.518394649,97.27532403,-97.32342113
6.02006689,97.49433415,-97.54294674
6.52173913,97.70491691,-97.75403346
7.023411371,97.90138021,-97.95082168
7.525083612,98.08120492,-98.13070866
8.026755853,98.25620277,-98.30579087
8.528428094,98.43526267,-98.48517002
9.030100334,98.60661361,-98.65676099
9.531772575,98.75954906,-98.80957338
10.03344482,98.90243066,-98.95218187
10.53511706,99.0471456,-99.09677704
11.0367893,99.20439559,-99.25432677
11.53846154,99.37649208,-99.42719143
12.04013378,99.53824515,-99.58951587
12.54180602,99.6709492,-99.72210047
13.04347826,99.79672743,-99.84765269
13.5451505,99.9348905,-99.98599174
14.04682274,100.0716034,-100.1229119
14.54849498,100.1955351,-100.2467754
15.05016722,100.3225854,-100.3738924
15.55183946,100.4623594,-100.5141145
16.05351171,100.5901911,-100.6421218
16.55518395,100.6905614,-100.7419868
17.05685619,100.7939123,-100.8449656
17.55852843,100.9232149,-100.9746403
18.06020067,101.0580444,-101.1100412
18.56187291,101.1792008,-101.2314518
19.06354515,101.2938051,-101.3461738
19.56521739,101.4120558,-101.464672
20.06688963,101.5396229,-101.592775
20.56856187,101.6764192,-101.730398
21.07023411,101.8082402,-101.8629466
21.57190635,101.9239819,-101.9790111
22.0735786,102.0284159,-102.0835022
22.57525084,102.1296211,-102.1847214
23.07692308,102.2370631,-102.2923691
23.57859532,102.3517221,-102.4074395
24.08026756,102.4520367,-102.5078074
24.5819398,102.5286282,-102.5838546
25.08361204,102.6114681,-102.6663513
25.58528428,102.7192659,-102.7745011
26.08695652,102.829802,-102.8854883
26.58862876,102.9243548,-102.980086
27.090301,103.0083507,-103.0638606
27.59197324,103.0922412,-103.1475431
28.09364548,103.1896679,-103.2451522
28.59531773,103.3021773,-103.3582829
29.09698997,103.4016078,-103.4580105
29.59866221,103.4737017,-103.5296863
30.10033445,103.5462837,-103.6018836
30.60200669,103.6386532,-103.6944195
31.10367893,103.7393116,-103.7954827
31.60535117,103.8378735,-103.8944079
32.10702341,103.9355501,-103.9924466
32.60869565,104.0296965,-104.0868841
33.11036789,104.1060183,-104.1630244
33.61204013,104.162585,-104.2188815
34.11371237,104.226051,-104.2818511
34.61538462,104.3117146,-104.3676507
35.11705686,104.4052573,-104.4615518
35.6187291,104.4935017,-104.5500088
36.12040134,104.5730768,-104.6295785
36.62207358,104.6449002,-104.7012153
37.12374582,104.7159556,-104.7720817
37.62541806,104.7907245,-104.8467737
38.1270903,104.8674946,-104.9235369
38.62876254,104.944295,-105.0003486
39.13043478,105.0200114,-105.0760596
39.63210702,105.093138,-105.1491208
40.13377926,105.161295,-105.2170917
40.63545151,105.2262569,-105.2817971
41.13712375,105.2975265,-105.3529937
41.63879599,105.3793272,-105.4350189
42.14046823,105.4647957,-105.5208303
42.64214047,105.5444296,-105.6006692
43.14381271,105.6063911,-105.6623657
43.64548495,105.6522124,-105.7074866
44.14715719,105.7064772,-105.761283
44.64882943,105.7824781,-105.8374098
45.15050167,105.8711003,-105.9265133
45.65217391,105.9599667,-106.0158895
46.15384615,106.0348152,-106.0908944
46.65551839,106.0937026,-106.149526
47.15719064,106.1553735,-106.2110152
47.65886288,106.2249396,-106.2806058
48.16053512,106.2826336,-106.3380144
48.66220736,106.3266424,-106.3813885
49.1638796,106.3866449,-106.441198
49.66555184,106.4704041,-106.525411
50.16722408,106.5475121,-106.6028086
50.66889632,106.6064689,-106.6615818
51.17056856,106.6706992,-106.7257777
51.6722408,106.7476,-106.802987
52.17391304,106.8158524,-106.8713161
52.67558528,106.8657941,-106.9208458
53.17725753,106.9091085,-106.9635822
53.67892977,106.9588842,-107.0129728
54.18060201,107.027616,-107.0818535
54.68227425,107.1177932,-107.1727766
55.18394649,107.2173563,-107.2733372
55.68561873,107.3119116,-107.3687448
56.18729097,107.3855034,-107.442627
56.68896321,107.4327998,-107.4895164
57.19063545,107.464053,-107.5199405
57.69230769,107.4943516,-107.5493921
58.19397993,107.5428621,-107.59755
58.69565217,107.610721,-107.6655827
59.19732441,107.675152,-107.730112
59.69899666,107.7233759,-107.7780165
60.2006689,107.7586407,-107.8126204
60.70234114,107.7962302,-107.8496111
61.20401338,107.8642359,-107.9178305
61.70568562,107.9583729,-108.0128844
62.20735786,108.0316379,-108.0865215
62.7090301,108.0703122,-108.124658
63.21070234,108.1071149,-108.1608844
63.71237458,108.1593525,-108.2129658
64.21404682,108.2224882,-108.276242
64.71571906,108.2879793,-108.3419394
65.2173913,108.3441177,-108.3980328
65.71906355,108.3890951,-108.4426658
66.22073579,108.4329815,-108.4861821
66.72240803,108.4823106,-108.5352969
67.22408027,108.5386987,-108.5916792
67.72575251,108.6001893,-108.6533169
68.22742475,108.6611715,-108.7144304
68.72909699,108.7206858,-108.7740323
69.23076923,108.7830967,-108.8366203
69.73244147,108.8475773,-108.9013502
70.23411371,108.907139,-108.9610354
70.73578595,108.9543524,-109.0080374
71.23745819,108.9826429,-109.0355993
71.73913043,109.005591,-109.0576756
72.24080268,109.0559575,-109.1079226
72.74247492,109.1351722,-109.187809
73.24414716,109.2115588,-109.2647942
73.7458194,109.2687852,-109.3221027
74.24749164,109.3093583,-109.3623193
74.74916388,109.3446697,-109.3971425
75.25083612,109.3928908,-109.4452212
75.75250836,109.4528469,-109.5053527
76.2541806,109.5047589,-109.5572446
76.75585284,109.5481023,-109.6003541
77.25752508,109.6011277,-109.6533961
77.75919732,109.6628027,-109.7153107
78.26086957,109.713729,-109.7662031
78.76254181,109.7562291,-109.8084589
79.26421405,109.8126221,-109.864975
79.76588629,109.8791579,-109.9319032
80.26755853,109.928451,-109.981146
80.76923077,109.9658162,-110.0181587
81.27090301,110.0252375,-110.0778127
81.77257525,110.1025356,-110.1558134
82.27424749,110.1596621,-110.2131037
82.77591973,110.1969999,-110.2500844
83.27759197,110.2485071,-110.3016278
83.77926421,110.3114211,-110.3648913
84.28093645,110.3522339,-110.405454
84.7826087,110.376575,-110.429097
85.28428094,110.4216048,-110.4739886
85.78595318,110.4870553,-110.5398602
86.28762542,110.5421629,-110.5951294
86.78929766,110.5810784,-110.6337773
87.2909699,110.6189042,-110.671287
87.79264214,110.6593497,-110.7114763
88.29431438,110.6973141,-110.749141
88.79598662,110.7393187,-110.7909796
89.29765886,110.7995667,-110.851556
89.7993311,110.867105,-110.9196169
90.30100334,110.9131732,-110.9656327
90.80267559,110.9480244,-111.0001333
91.30434783,111.0089606,-111.0614217
91.80602007,111.086088,-111.1393408
92.30769231,111.1359117,-111.1892273
92.80936455,111.1659474,-111.2187993
93.31103679,111.2187626,-111.2717694
93.81270903,111.2860003,-111.3395528
94.31438127,111.3249046,-111.378236
94.81605351,111.3427755,-111.3953155
95.31772575,111.3797038,-111.4319633
95.81939799,111.4344695,-111.4869362
96.32107023,111.4793211,-111.5317523
96.82274247,111.5185343,-111.5707906
97.32441472,111.5763789,-111.6289463
97.82608696,111.6453786,-111.6985494
98.3277592,111.6977515,-111.7510991
98.82943144,111.7320375,-111.7850935
99.33110368,111.7643739,-111.8170837
99.83277592,111.8032168,-111.8557472
100.3344482,111.8508353,-111.9034179
100.8361204,111.8975518,-111.9501622
101.3377926,111.9284,-111.9806162
101.8394649,111.9553461,-112.0070722
102.3411371,112.0039189,-112.0557464
102.8428094,112.0658249,-112.1181185
103.3444816,112.1143016,-112.1666996
103.8461538,112.1538113,-112.2060732
104.3478261,112.2056265,-112.258091
104.8494983,112.2631906,-112.3160188
105.3511706,112.3057587,-112.3585468
105.8528428,112.3425241,-112.3951154
106.3545151,112.3970256,-112.4499008
106.8561873,112.4584205,-112.5117767
107.3578595,112.4990865,-112.5523836
107.8595318,112.5277985,-112.5807104
108.361204,112.5704149,-112.6232813
108.8628763,112.6183246,-112.671279
109.3645485,112.6478114,-112.7003999
109.8662207,112.6742291,-112.7263935
110.367893,112.7290123,-112.7814917
110.8695652,112.7991088,-112.8523014
111.3712375,112.850403,-112.9038251
111.8729097,112.8822226,-112.9353711
112.3745819,112.9117692,-112.9645848
112.8762542,112.952138,-113.0049083
113.3779264,113.011346,-113.0645766
113.8795987,113.071738,-113.1254607
114.3812709,113.1063743,-113.1598936
114.8829431,113.1253225,-113.1782091
115.3846154,113.153669,-113.2061636
115.8862876,113.1897551,-113.2420662
116.3879599,113.2215917,-113.2736247
116.8896321,113.2572511,-113.3091278
117.3913043,113.3103159,-113.3625126
117.8929766,113.3622163,-113.4147
118.3946488,113.3852541,-113.4372377
118.8963211,113.4012419,-113.4525348
119.3979933,113.4476595,-113.4990903
119.8996656,113.5134362,-113.5655373
120.4013378,113.5685056,-113.6209983
120.90301,113.6080882,-113.6605575
121.4046823,113.6394454,-113.6916656
121.9063545,113.6714726,-113.72346
122.4080268,113.7110435,-113.7630039
122.909699,113.7465871,-113.79841
123.4113712,113.7637568,-113.8149403
123.9130435,113.7830493,-113.8336538
124.4147157,113.8318834,-113.8827175
124.916388,113.8894997,-113.9408151
125.4180602,113.9227995,-113.973953
125.9197324,113.952867,-114.0037705
126.4214047,114.0142868,-114.0657717
126.9230769,114.0868338,-114.1391981
127.4247492,114.1326496,-114.1851841
127.9264214,114.1497585,-114.2016897
128.4280936,114.1522645,-114.2031861
128.9297659,114.1614124,-114.2115
129.4314381,114.1951837,-114.2451077
129.9331104,114.2393462,-114.2894012
130.4347826,114.2734109,-114.3233445
130.9364548,114.31153,-114.3614545
131.4381271,114.3737691,-114.4243187
131.9397993,114.4391958,-114.4904577
132.4414716,114.4787731,-114.530072
132.9431438,114.5089724,-114.5600576
133.4448161,114.5559074,-114.6072078
133.9464883,114.608022,-114.6596741
134.4481605,114.6447398,-114.6963535
134.9498328,114.6700497,-114.721335
135.451505,114.6965608,-114.7475498
135.9531773,114.7375916,-114.7886671
136.4548495,114.8000387,-114.8517683
136.9565217,114.8540558,-114.9062202
137.458194,114.8702108,-114.9218113
137.9598662,114.8881138,-114.9391987
138.4615385,114.9524913,-115.0042902
138.9632107,115.026608,-115.0793838
139.4648829,115.0611612,-115.1138715
139.9665552,115.083612,-115.1359334
140.4682274,115.1324858,-115.1851083
140.9698997,115.1837011,-115.2366798
141.4715719,115.2043269,-115.2568514
141.9732441,115.2128151,-115.2645749
142.4749164,115.2372375,-115.2886708
142.9765886,115.2818175,-115.3334636
143.4782609,115.3421844,-115.3944582
143.9799331,115.4040435,-115.4569932
144.4816054,115.4537765,-115.5071
144.9832776,115.4962732,-115.54978
145.4849498,115.5397939,-115.5934946
145.9866221,115.5833453,-115.6372398
146.4882943,115.6220207,-115.6759939
146.9899666,115.6453381,-115.6989672
147.4916388,115.6497803,-115.7025262
147.993311,115.6661499,-115.7183312
148.4949833,115.7218756,-115.7745753
148.9966555,115.7958283,-115.8495588
149.4983278,115.8531809,-115.9075039
150,115.8583294,-115.9118289
